end,start,tweet_count,query
2023-02-14T00:00:00.000Z,2023-02-13T00:00:00.000Z,208,chatgpt employees
2023-02-15T00:00:00.000Z,2023-02-14T00:00:00.000Z,184,chatgpt employees
2023-02-16T00:00:00.000Z,2023-02-15T00:00:00.000Z,135,chatgpt employees
2023-02-17T00:00:00.000Z,2023-02-16T00:00:00.000Z,235,chatgpt employees
2023-02-18T00:00:00.000Z,2023-02-17T00:00:00.000Z,102,chatgpt employees
2023-02-19T00:00:00.000Z,2023-02-18T00:00:00.000Z,94,chatgpt employees
2023-02-20T00:00:00.000Z,2023-02-19T00:00:00.000Z,47,chatgpt employees
2023-02-21T00:00:00.000Z,2023-02-20T00:00:00.000Z,144,chatgpt employees
2023-02-22T00:00:00.000Z,2023-02-21T00:00:00.000Z,152,chatgpt employees
2023-02-23T00:00:00.000Z,2023-02-22T00:00:00.000Z,560,chatgpt employees
2023-02-24T00:00:00.000Z,2023-02-23T00:00:00.000Z,461,chatgpt employees
2022-12-25T00:00:00.000Z,2022-12-24T00:00:00.000Z,7,chatgpt employees
2022-12-26T00:00:00.000Z,2022-12-25T00:00:00.000Z,0,chatgpt employees
2022-12-27T00:00:00.000Z,2022-12-26T00:00:00.000Z,12,chatgpt employees
2022-12-28T00:00:00.000Z,2022-12-27T00:00:00.000Z,19,chatgpt employees
2022-12-29T00:00:00.000Z,2022-12-28T00:00:00.000Z,1,chatgpt employees
2022-12-30T00:00:00.000Z,2022-12-29T00:00:00.000Z,9,chatgpt employees
2022-12-31T00:00:00.000Z,2022-12-30T00:00:00.000Z,1,chatgpt employees
2023-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,3,chatgpt employees
2023-01-02T00:00:00.000Z,2023-01-01T00:00:00.000Z,0,chatgpt employees
2023-01-03T00:00:00.000Z,2023-01-02T00:00:00.000Z,5,chatgpt employees
2023-01-04T00:00:00.000Z,2023-01-03T00:00:00.000Z,4,chatgpt employees
2023-01-05T00:00:00.000Z,2023-01-04T00:00:00.000Z,2,chatgpt employees
2023-01-06T00:00:00.000Z,2023-01-05T00:00:00.000Z,18,chatgpt employees
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,18,chatgpt employees
2023-01-08T00:00:00.000Z,2023-01-07T00:00:00.000Z,12,chatgpt employees
2023-01-09T00:00:00.000Z,2023-01-08T00:00:00.000Z,8,chatgpt employees
2023-01-10T00:00:00.000Z,2023-01-09T00:00:00.000Z,17,chatgpt employees
2023-01-11T00:00:00.000Z,2023-01-10T00:00:00.000Z,35,chatgpt employees
2023-01-12T00:00:00.000Z,2023-01-11T00:00:00.000Z,34,chatgpt employees
2023-01-13T00:00:00.000Z,2023-01-12T00:00:00.000Z,27,chatgpt employees
2023-01-14T00:00:00.000Z,2023-01-13T00:00:00.000Z,45,chatgpt employees
2023-01-15T00:00:00.000Z,2023-01-14T00:00:00.000Z,15,chatgpt employees
