end,start,tweet_count,query
2022-12-02T00:00:00.000Z,2022-12-01T00:00:00.000Z,0,chatgpt employment
2022-12-03T00:00:00.000Z,2022-12-02T00:00:00.000Z,1,chatgpt employment
2022-12-04T00:00:00.000Z,2022-12-03T00:00:00.000Z,18,chatgpt employment
2022-12-05T00:00:00.000Z,2022-12-04T00:00:00.000Z,17,chatgpt employment
2022-12-06T00:00:00.000Z,2022-12-05T00:00:00.000Z,6,chatgpt employment
2022-12-07T00:00:00.000Z,2022-12-06T00:00:00.000Z,2,chatgpt employment
2022-12-08T00:00:00.000Z,2022-12-07T00:00:00.000Z,10,chatgpt employment
2022-12-09T00:00:00.000Z,2022-12-08T00:00:00.000Z,1,chatgpt employment
2022-12-10T00:00:00.000Z,2022-12-09T00:00:00.000Z,5,chatgpt employment
2022-12-11T00:00:00.000Z,2022-12-10T00:00:00.000Z,10,chatgpt employment
2022-12-12T00:00:00.000Z,2022-12-11T00:00:00.000Z,10,chatgpt employment
2022-12-13T00:00:00.000Z,2022-12-12T00:00:00.000Z,3,chatgpt employment
2022-12-14T00:00:00.000Z,2022-12-13T00:00:00.000Z,5,chatgpt employment
2022-12-15T00:00:00.000Z,2022-12-14T00:00:00.000Z,3,chatgpt employment
2022-12-16T00:00:00.000Z,2022-12-15T00:00:00.000Z,6,chatgpt employment
2022-12-17T00:00:00.000Z,2022-12-16T00:00:00.000Z,10,chatgpt employment
2022-12-18T00:00:00.000Z,2022-12-17T00:00:00.000Z,2,chatgpt employment
2022-12-19T00:00:00.000Z,2022-12-18T00:00:00.000Z,2,chatgpt employment
2022-12-20T00:00:00.000Z,2022-12-19T00:00:00.000Z,3,chatgpt employment
2022-12-21T00:00:00.000Z,2022-12-20T00:00:00.000Z,1,chatgpt employment
2022-12-22T00:00:00.000Z,2022-12-21T00:00:00.000Z,1,chatgpt employment
2022-12-23T00:00:00.000Z,2022-12-22T00:00:00.000Z,1,chatgpt employment
2022-12-24T00:00:00.000Z,2022-12-23T00:00:00.000Z,4,chatgpt employment
2023-01-25T00:00:00.000Z,2023-01-24T00:00:00.000Z,1,chatgpt employability
2023-01-26T00:00:00.000Z,2023-01-25T00:00:00.000Z,0,chatgpt employability
2023-01-27T00:00:00.000Z,2023-01-26T00:00:00.000Z,0,chatgpt employability
2023-01-28T00:00:00.000Z,2023-01-27T00:00:00.000Z,0,chatgpt employability
2023-01-29T00:00:00.000Z,2023-01-28T00:00:00.000Z,0,chatgpt employability
2023-01-30T00:00:00.000Z,2023-01-29T00:00:00.000Z,1,chatgpt employability
2023-01-31T00:00:00.000Z,2023-01-30T00:00:00.000Z,2,chatgpt employability
2023-02-01T00:00:00.000Z,2023-01-31T00:00:00.000Z,0,chatgpt employability
2023-02-02T00:00:00.000Z,2023-02-01T00:00:00.000Z,0,chatgpt employability
2023-02-03T00:00:00.000Z,2023-02-02T00:00:00.000Z,1,chatgpt employability
2023-02-04T00:00:00.000Z,2023-02-03T00:00:00.000Z,0,chatgpt employability
2023-02-05T00:00:00.000Z,2023-02-04T00:00:00.000Z,0,chatgpt employability
2023-02-06T00:00:00.000Z,2023-02-05T00:00:00.000Z,0,chatgpt employability
2023-02-07T00:00:00.000Z,2023-02-06T00:00:00.000Z,0,chatgpt employability
2023-02-08T00:00:00.000Z,2023-02-07T00:00:00.000Z,1,chatgpt employability
2023-02-09T00:00:00.000Z,2023-02-08T00:00:00.000Z,0,chatgpt employability
2023-02-10T00:00:00.000Z,2023-02-09T00:00:00.000Z,1,chatgpt employability
2023-02-11T00:00:00.000Z,2023-02-10T00:00:00.000Z,1,chatgpt employability
2023-02-12T00:00:00.000Z,2023-02-11T00:00:00.000Z,1,chatgpt employability
2023-02-13T00:00:00.000Z,2023-02-12T00:00:00.000Z,0,chatgpt employability
2023-02-14T00:00:00.000Z,2023-02-13T00:00:00.000Z,0,chatgpt employability
2023-02-15T00:00:00.000Z,2023-02-14T00:00:00.000Z,1,chatgpt employability
2023-02-16T00:00:00.000Z,2023-02-15T00:00:00.000Z,2,chatgpt employability
2023-02-17T00:00:00.000Z,2023-02-16T00:00:00.000Z,0,chatgpt employability
2023-02-18T00:00:00.000Z,2023-02-17T00:00:00.000Z,0,chatgpt employability
2023-02-19T00:00:00.000Z,2023-02-18T00:00:00.000Z,0,chatgpt employability
2023-02-20T00:00:00.000Z,2023-02-19T00:00:00.000Z,0,chatgpt employability
2023-02-21T00:00:00.000Z,2023-02-20T00:00:00.000Z,0,chatgpt employability
2023-02-22T00:00:00.000Z,2023-02-21T00:00:00.000Z,0,chatgpt employability
2023-02-23T00:00:00.000Z,2023-02-22T00:00:00.000Z,0,chatgpt employability
2023-02-24T00:00:00.000Z,2023-02-23T00:00:00.000Z,0,chatgpt employability
2022-12-25T00:00:00.000Z,2022-12-24T00:00:00.000Z,0,chatgpt employability
2022-12-26T00:00:00.000Z,2022-12-25T00:00:00.000Z,0,chatgpt employability
2022-12-27T00:00:00.000Z,2022-12-26T00:00:00.000Z,1,chatgpt employability
2022-12-28T00:00:00.000Z,2022-12-27T00:00:00.000Z,1,chatgpt employability
2022-12-29T00:00:00.000Z,2022-12-28T00:00:00.000Z,0,chatgpt employability
2022-12-30T00:00:00.000Z,2022-12-29T00:00:00.000Z,1,chatgpt employability
2022-12-31T00:00:00.000Z,2022-12-30T00:00:00.000Z,0,chatgpt employability
2023-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,0,chatgpt employability
2023-01-02T00:00:00.000Z,2023-01-01T00:00:00.000Z,0,chatgpt employability
2023-01-03T00:00:00.000Z,2023-01-02T00:00:00.000Z,0,chatgpt employability
2023-01-04T00:00:00.000Z,2023-01-03T00:00:00.000Z,0,chatgpt employability
2023-01-05T00:00:00.000Z,2023-01-04T00:00:00.000Z,0,chatgpt employability
2023-01-06T00:00:00.000Z,2023-01-05T00:00:00.000Z,0,chatgpt employability
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,0,chatgpt employability
2023-01-08T00:00:00.000Z,2023-01-07T00:00:00.000Z,0,chatgpt employability
2023-01-09T00:00:00.000Z,2023-01-08T00:00:00.000Z,0,chatgpt employability
2023-01-10T00:00:00.000Z,2023-01-09T00:00:00.000Z,0,chatgpt employability
2023-01-11T00:00:00.000Z,2023-01-10T00:00:00.000Z,7,chatgpt employability
2023-01-12T00:00:00.000Z,2023-01-11T00:00:00.000Z,0,chatgpt employability
2023-01-13T00:00:00.000Z,2023-01-12T00:00:00.000Z,0,chatgpt employability
2023-01-14T00:00:00.000Z,2023-01-13T00:00:00.000Z,7,chatgpt employability
2023-01-15T00:00:00.000Z,2023-01-14T00:00:00.000Z,2,chatgpt employability
2023-01-16T00:00:00.000Z,2023-01-15T00:00:00.000Z,0,chatgpt employability
2023-01-17T00:00:00.000Z,2023-01-16T00:00:00.000Z,1,chatgpt employability
2023-01-18T00:00:00.000Z,2023-01-17T00:00:00.000Z,0,chatgpt employability
2023-01-19T00:00:00.000Z,2023-01-18T00:00:00.000Z,0,chatgpt employability
2023-01-20T00:00:00.000Z,2023-01-19T00:00:00.000Z,0,chatgpt employability
2023-01-21T00:00:00.000Z,2023-01-20T00:00:00.000Z,1,chatgpt employability
2023-01-22T00:00:00.000Z,2023-01-21T00:00:00.000Z,0,chatgpt employability
2023-01-23T00:00:00.000Z,2023-01-22T00:00:00.000Z,0,chatgpt employability
2023-01-24T00:00:00.000Z,2023-01-23T00:00:00.000Z,0,chatgpt employability
2022-12-01T00:00:00.000Z,2022-11-30T00:00:00.000Z,0,chatgpt employability
2022-12-02T00:00:00.000Z,2022-12-01T00:00:00.000Z,0,chatgpt employability
2022-12-03T00:00:00.000Z,2022-12-02T00:00:00.000Z,0,chatgpt employability
2022-12-04T00:00:00.000Z,2022-12-03T00:00:00.000Z,0,chatgpt employability
2022-12-05T00:00:00.000Z,2022-12-04T00:00:00.000Z,0,chatgpt employability
2022-12-06T00:00:00.000Z,2022-12-05T00:00:00.000Z,0,chatgpt employability
2022-12-07T00:00:00.000Z,2022-12-06T00:00:00.000Z,1,chatgpt employability
2022-12-08T00:00:00.000Z,2022-12-07T00:00:00.000Z,0,chatgpt employability
2022-12-09T00:00:00.000Z,2022-12-08T00:00:00.000Z,1,chatgpt employability
2022-12-10T00:00:00.000Z,2022-12-09T00:00:00.000Z,0,chatgpt employability
2022-12-11T00:00:00.000Z,2022-12-10T00:00:00.000Z,0,chatgpt employability
2022-12-12T00:00:00.000Z,2022-12-11T00:00:00.000Z,0,chatgpt employability
2022-12-13T00:00:00.000Z,2022-12-12T00:00:00.000Z,0,chatgpt employability
2022-12-14T00:00:00.000Z,2022-12-13T00:00:00.000Z,0,chatgpt employability
2022-12-15T00:00:00.000Z,2022-12-14T00:00:00.000Z,0,chatgpt employability
2022-12-16T00:00:00.000Z,2022-12-15T00:00:00.000Z,0,chatgpt employability
2022-12-17T00:00:00.000Z,2022-12-16T00:00:00.000Z,0,chatgpt employability
2022-12-18T00:00:00.000Z,2022-12-17T00:00:00.000Z,0,chatgpt employability
2022-12-19T00:00:00.000Z,2022-12-18T00:00:00.000Z,0,chatgpt employability
2022-12-20T00:00:00.000Z,2022-12-19T00:00:00.000Z,0,chatgpt employability
2022-12-21T00:00:00.000Z,2022-12-20T00:00:00.000Z,0,chatgpt employability
2022-12-22T00:00:00.000Z,2022-12-21T00:00:00.000Z,0,chatgpt employability
2022-12-23T00:00:00.000Z,2022-12-22T00:00:00.000Z,0,chatgpt employability
2022-12-24T00:00:00.000Z,2022-12-23T00:00:00.000Z,0,chatgpt employability
2023-01-25T00:00:00.000Z,2023-01-24T00:00:00.000Z,9,chatgpt employer
2023-01-26T00:00:00.000Z,2023-01-25T00:00:00.000Z,8,chatgpt employer
2023-01-27T00:00:00.000Z,2023-01-26T00:00:00.000Z,14,chatgpt employer
2023-01-28T00:00:00.000Z,2023-01-27T00:00:00.000Z,8,chatgpt employer
2023-01-29T00:00:00.000Z,2023-01-28T00:00:00.000Z,7,chatgpt employer
2023-01-30T00:00:00.000Z,2023-01-29T00:00:00.000Z,6,chatgpt employer
2023-01-31T00:00:00.000Z,2023-01-30T00:00:00.000Z,9,chatgpt employer
2023-02-01T00:00:00.000Z,2023-01-31T00:00:00.000Z,4,chatgpt employer
2023-02-02T00:00:00.000Z,2023-02-01T00:00:00.000Z,7,chatgpt employer
2023-02-03T00:00:00.000Z,2023-02-02T00:00:00.000Z,31,chatgpt employer
2023-02-04T00:00:00.000Z,2023-02-03T00:00:00.000Z,44,chatgpt employer
2023-02-05T00:00:00.000Z,2023-02-04T00:00:00.000Z,2,chatgpt employer
2023-02-06T00:00:00.000Z,2023-02-05T00:00:00.000Z,7,chatgpt employer
2023-02-07T00:00:00.000Z,2023-02-06T00:00:00.000Z,5,chatgpt employer
2023-02-08T00:00:00.000Z,2023-02-07T00:00:00.000Z,4,chatgpt employer
2023-02-09T00:00:00.000Z,2023-02-08T00:00:00.000Z,3,chatgpt employer
2023-02-10T00:00:00.000Z,2023-02-09T00:00:00.000Z,7,chatgpt employer
2023-02-11T00:00:00.000Z,2023-02-10T00:00:00.000Z,13,chatgpt employer
2023-02-12T00:00:00.000Z,2023-02-11T00:00:00.000Z,2,chatgpt employer
2023-02-13T00:00:00.000Z,2023-02-12T00:00:00.000Z,6,chatgpt employer
2023-02-14T00:00:00.000Z,2023-02-13T00:00:00.000Z,5,chatgpt employer
2023-02-15T00:00:00.000Z,2023-02-14T00:00:00.000Z,0,chatgpt employer
2023-02-16T00:00:00.000Z,2023-02-15T00:00:00.000Z,8,chatgpt employer
2023-02-17T00:00:00.000Z,2023-02-16T00:00:00.000Z,4,chatgpt employer
2023-02-18T00:00:00.000Z,2023-02-17T00:00:00.000Z,4,chatgpt employer
2023-02-19T00:00:00.000Z,2023-02-18T00:00:00.000Z,6,chatgpt employer
2023-02-20T00:00:00.000Z,2023-02-19T00:00:00.000Z,14,chatgpt employer
2023-02-21T00:00:00.000Z,2023-02-20T00:00:00.000Z,6,chatgpt employer
2023-02-22T00:00:00.000Z,2023-02-21T00:00:00.000Z,6,chatgpt employer
2023-02-23T00:00:00.000Z,2023-02-22T00:00:00.000Z,3,chatgpt employer
2023-02-24T00:00:00.000Z,2023-02-23T00:00:00.000Z,6,chatgpt employer
2022-12-25T00:00:00.000Z,2022-12-24T00:00:00.000Z,0,chatgpt employer
2022-12-26T00:00:00.000Z,2022-12-25T00:00:00.000Z,1,chatgpt employer
2022-12-27T00:00:00.000Z,2022-12-26T00:00:00.000Z,0,chatgpt employer
2022-12-28T00:00:00.000Z,2022-12-27T00:00:00.000Z,0,chatgpt employer
2022-12-29T00:00:00.000Z,2022-12-28T00:00:00.000Z,0,chatgpt employer
2022-12-30T00:00:00.000Z,2022-12-29T00:00:00.000Z,0,chatgpt employer
2022-12-31T00:00:00.000Z,2022-12-30T00:00:00.000Z,0,chatgpt employer
2023-01-01T00:00:00.000Z,2022-12-31T00:00:00.000Z,0,chatgpt employer
2023-01-02T00:00:00.000Z,2023-01-01T00:00:00.000Z,0,chatgpt employer
2023-01-03T00:00:00.000Z,2023-01-02T00:00:00.000Z,1,chatgpt employer
2023-01-04T00:00:00.000Z,2023-01-03T00:00:00.000Z,2,chatgpt employer
2023-01-05T00:00:00.000Z,2023-01-04T00:00:00.000Z,0,chatgpt employer
2023-01-06T00:00:00.000Z,2023-01-05T00:00:00.000Z,1,chatgpt employer
2023-01-07T00:00:00.000Z,2023-01-06T00:00:00.000Z,0,chatgpt employer
2023-01-08T00:00:00.000Z,2023-01-07T00:00:00.000Z,3,chatgpt employer
2023-01-09T00:00:00.000Z,2023-01-08T00:00:00.000Z,2,chatgpt employer
2023-01-10T00:00:00.000Z,2023-01-09T00:00:00.000Z,5,chatgpt employer
2023-01-11T00:00:00.000Z,2023-01-10T00:00:00.000Z,2,chatgpt employer
2023-01-12T00:00:00.000Z,2023-01-11T00:00:00.000Z,43,chatgpt employer
2023-01-13T00:00:00.000Z,2023-01-12T00:00:00.000Z,1,chatgpt employer
2023-01-14T00:00:00.000Z,2023-01-13T00:00:00.000Z,2,chatgpt employer
2023-01-15T00:00:00.000Z,2023-01-14T00:00:00.000Z,2,chatgpt employer
2023-01-16T00:00:00.000Z,2023-01-15T00:00:00.000Z,3,chatgpt employer
2023-01-17T00:00:00.000Z,2023-01-16T00:00:00.000Z,2,chatgpt employer
2023-01-18T00:00:00.000Z,2023-01-17T00:00:00.000Z,0,chatgpt employer
2023-01-19T00:00:00.000Z,2023-01-18T00:00:00.000Z,1,chatgpt employer
2023-01-20T00:00:00.000Z,2023-01-19T00:00:00.000Z,7,chatgpt employer
2023-01-21T00:00:00.000Z,2023-01-20T00:00:00.000Z,10,chatgpt employer
2023-01-22T00:00:00.000Z,2023-01-21T00:00:00.000Z,3,chatgpt employer
2023-01-23T00:00:00.000Z,2023-01-22T00:00:00.000Z,1,chatgpt employer
2023-01-24T00:00:00.000Z,2023-01-23T00:00:00.000Z,5,chatgpt employer
2022-12-01T00:00:00.000Z,2022-11-30T00:00:00.000Z,0,chatgpt employer
2022-12-02T00:00:00.000Z,2022-12-01T00:00:00.000Z,1,chatgpt employer
2022-12-03T00:00:00.000Z,2022-12-02T00:00:00.000Z,0,chatgpt employer
2022-12-04T00:00:00.000Z,2022-12-03T00:00:00.000Z,3,chatgpt employer
2022-12-05T00:00:00.000Z,2022-12-04T00:00:00.000Z,1,chatgpt employer
2022-12-06T00:00:00.000Z,2022-12-05T00:00:00.000Z,3,chatgpt employer
2022-12-07T00:00:00.000Z,2022-12-06T00:00:00.000Z,2,chatgpt employer
2022-12-08T00:00:00.000Z,2022-12-07T00:00:00.000Z,5,chatgpt employer
2022-12-09T00:00:00.000Z,2022-12-08T00:00:00.000Z,1,chatgpt employer
2022-12-10T00:00:00.000Z,2022-12-09T00:00:00.000Z,6,chatgpt employer
2022-12-11T00:00:00.000Z,2022-12-10T00:00:00.000Z,1,chatgpt employer
2022-12-12T00:00:00.000Z,2022-12-11T00:00:00.000Z,2,chatgpt employer
2022-12-13T00:00:00.000Z,2022-12-12T00:00:00.000Z,4,chatgpt employer
2022-12-14T00:00:00.000Z,2022-12-13T00:00:00.000Z,1,chatgpt employer
2022-12-15T00:00:00.000Z,2022-12-14T00:00:00.000Z,1,chatgpt employer
2022-12-16T00:00:00.000Z,2022-12-15T00:00:00.000Z,1,chatgpt employer
2022-12-17T00:00:00.000Z,2022-12-16T00:00:00.000Z,2,chatgpt employer
2022-12-18T00:00:00.000Z,2022-12-17T00:00:00.000Z,4,chatgpt employer
2022-12-19T00:00:00.000Z,2022-12-18T00:00:00.000Z,0,chatgpt employer
2022-12-20T00:00:00.000Z,2022-12-19T00:00:00.000Z,0,chatgpt employer
2022-12-21T00:00:00.000Z,2022-12-20T00:00:00.000Z,2,chatgpt employer
2022-12-22T00:00:00.000Z,2022-12-21T00:00:00.000Z,1,chatgpt employer
2022-12-23T00:00:00.000Z,2022-12-22T00:00:00.000Z,5,chatgpt employer
2022-12-24T00:00:00.000Z,2022-12-23T00:00:00.000Z,1,chatgpt employer
2023-01-25T00:00:00.000Z,2023-01-24T00:00:00.000Z,519,chatgpt employees
2023-01-26T00:00:00.000Z,2023-01-25T00:00:00.000Z,165,chatgpt employees
2023-01-27T00:00:00.000Z,2023-01-26T00:00:00.000Z,187,chatgpt employees
2023-01-28T00:00:00.000Z,2023-01-27T00:00:00.000Z,231,chatgpt employees
2023-01-29T00:00:00.000Z,2023-01-28T00:00:00.000Z,109,chatgpt employees
2023-01-30T00:00:00.000Z,2023-01-29T00:00:00.000Z,51,chatgpt employees
2023-01-31T00:00:00.000Z,2023-01-30T00:00:00.000Z,428,chatgpt employees
2023-02-01T00:00:00.000Z,2023-01-31T00:00:00.000Z,251,chatgpt employees
2023-02-02T00:00:00.000Z,2023-02-01T00:00:00.000Z,657,chatgpt employees
2023-02-03T00:00:00.000Z,2023-02-02T00:00:00.000Z,720,chatgpt employees
2023-02-04T00:00:00.000Z,2023-02-03T00:00:00.000Z,192,chatgpt employees
2023-02-05T00:00:00.000Z,2023-02-04T00:00:00.000Z,206,chatgpt employees
2023-02-06T00:00:00.000Z,2023-02-05T00:00:00.000Z,128,chatgpt employees
2023-02-07T00:00:00.000Z,2023-02-06T00:00:00.000Z,230,chatgpt employees
2023-02-08T00:00:00.000Z,2023-02-07T00:00:00.000Z,442,chatgpt employees
2023-02-09T00:00:00.000Z,2023-02-08T00:00:00.000Z,248,chatgpt employees
2023-02-10T00:00:00.000Z,2023-02-09T00:00:00.000Z,88,chatgpt employees
2023-02-11T00:00:00.000Z,2023-02-10T00:00:00.000Z,150,chatgpt employees
2023-02-12T00:00:00.000Z,2023-02-11T00:00:00.000Z,330,chatgpt employees
2023-02-13T00:00:00.000Z,2023-02-12T00:00:00.000Z,142,chatgpt employees
